division_gid,motion_gid,chamber,__index_level_0__
uk.org.publicwhip/debate/2019-03-26c.274.3,uk.org.publicwhip/debate/2019-03-26c.269.0.1,house-of-commons,4
uk.org.publicwhip/debate/2019-03-26c.278.0,uk.org.publicwhip/debate/2019-03-26c.278.1.3,house-of-commons,6
uk.org.publicwhip/debate/2019-03-26c.283.8,uk.org.publicwhip/debate/2019-03-26c.283.5.3,house-of-commons,7
uk.org.publicwhip/debate/2019-03-26c.289.6,uk.org.publicwhip/debate/2019-03-26c.289.3.3,house-of-commons,8
uk.org.publicwhip/debate/2019-03-27b.363.1,uk.org.publicwhip/debate/2019-03-27b.363.2.3,house-of-commons,136
uk.org.publicwhip/debate/2019-03-27b.452.6,uk.org.publicwhip/debate/2019-03-27b.452.7.3,house-of-commons,137
uk.org.publicwhip/debate/2019-03-27b.481.3,uk.org.publicwhip/debate/2019-03-27b.481.2.1,house-of-commons,138
uk.org.publicwhip/debate/2019-03-27b.485.2,uk.org.publicwhip/debate/2019-03-27b.485.1.1,house-of-commons,139
uk.org.publicwhip/debate/2019-03-27b.489.2,uk.org.publicwhip/debate/2019-03-27b.489.1.1,house-of-commons,140
uk.org.publicwhip/debate/2019-03-27b.492.2,uk.org.publicwhip/debate/2019-03-27b.492.1.1,house-of-commons,141
uk.org.publicwhip/debate/2019-03-27b.496.2,uk.org.publicwhip/debate/2019-03-27b.496.1.1,house-of-commons,142
uk.org.publicwhip/debate/2019-03-27b.501.2,uk.org.publicwhip/debate/2019-03-27b.501.1.1,house-of-commons,143
uk.org.publicwhip/debate/2019-03-27b.504.2,uk.org.publicwhip/debate/2019-03-27b.504.1.1,house-of-commons,144
uk.org.publicwhip/debate/2019-03-27b.508.2,uk.org.publicwhip/debate/2019-03-27b.508.1.1,house-of-commons,145
uk.org.publicwhip/debate/2019-03-27b.513.3,uk.org.publicwhip/debate/2019-03-27b.513.2.1,house-of-commons,146
uk.org.publicwhip/debate/2019-03-27b.517.2,uk.org.publicwhip/debate/2019-03-27b.517.1.1,house-of-commons,147
uk.org.publicwhip/debate/2019-03-27b.520.2,uk.org.publicwhip/debate/2019-03-27b.520.1.1,house-of-commons,148
uk.org.publicwhip/debate/2019-03-27b.524.2,uk.org.publicwhip/debate/2019-03-27b.524.1.1,house-of-commons,149
uk.org.publicwhip/debate/2019-03-29a.770.6,uk.org.publicwhip/debate/2019-03-29a.695.4.1,house-of-commons,174
uk.org.publicwhip/debate/2019-04-01b.819.1,uk.org.publicwhip/debate/2019-04-01b.819.2.3,house-of-commons,151
uk.org.publicwhip/debate/2019-04-01b.893.3,uk.org.publicwhip/debate/2019-04-01b.893.2.1,house-of-commons,152
uk.org.publicwhip/debate/2019-04-01b.897.0,uk.org.publicwhip/debate/2019-04-01b.893.4.3,house-of-commons,153
uk.org.publicwhip/debate/2019-04-01b.901.0,uk.org.publicwhip/debate/2019-04-01b.897.1.3,house-of-commons,154
uk.org.publicwhip/debate/2019-04-01b.905.0,uk.org.publicwhip/debate/2019-04-01b.901.1.3,house-of-commons,155
uk.org.publicwhip/debate/2019-04-02b.996.2,uk.org.publicwhip/debate/2019-04-02b.996.3.3,house-of-commons,1
uk.org.publicwhip/debate/2019-04-03b.1114.2,uk.org.publicwhip/debate/2019-04-03b.1111.1.8,house-of-commons,33
uk.org.publicwhip/debate/2019-04-03b.1120.2,uk.org.publicwhip/debate/2019-04-03b.1120.3.3,house-of-commons,35
uk.org.publicwhip/debate/2019-04-03b.1146.0,uk.org.publicwhip/debate/2019-04-03b.1131.2.1,house-of-commons,36
uk.org.publicwhip/debate/2019-04-03b.1192.1,uk.org.publicwhip/debate/2019-04-03b.1192.0.4,house-of-commons,37
uk.org.publicwhip/debate/2019-04-03b.1197.0,uk.org.publicwhip/debate/2019-04-03b.1154.3.6,house-of-commons,34
uk.org.publicwhip/debate/2019-04-03b.1201.1,uk.org.publicwhip/debate/2019-04-03b.1197.1.3,house-of-commons,39
uk.org.publicwhip/debate/2019-04-03b.1206.6,uk.org.publicwhip/debate/2019-04-03b.1206.2.1,house-of-commons,40
uk.org.publicwhip/debate/2019-04-03b.1212.0,uk.org.publicwhip/debate/2019-04-03b.1211.6.3,house-of-commons,38
uk.org.publicwhip/debate/2019-04-08d.133.2,uk.org.publicwhip/debate/2019-04-08d.133.1.8,house-of-commons,171
uk.org.publicwhip/debate/2019-04-08d.137.0,uk.org.publicwhip/debate/2019-04-08d.133.3.5,house-of-commons,172
uk.org.publicwhip/debate/2019-04-08d.141.1,uk.org.publicwhip/debate/2019-04-08d.137.1.3,house-of-commons,173
uk.org.publicwhip/debate/2019-04-09c.257.0,uk.org.publicwhip/debate/2019-04-09c.257.1.3,house-of-commons,22
uk.org.publicwhip/debate/2019-04-10b.422.0,uk.org.publicwhip/debate/2019-04-10b.422.1.3,house-of-commons,12
