gid,date,major_heading_id,minor_heading_id,speech_id,paragraph_pid,agreed_text,motion_title,motion_gid,chamber,negative,__index_level_0__
uk.org.publicwhip/debate/2020-05-11b.49.1.2,2020-05-11,uk.org.publicwhip/debate/2020-05-11b.47.0,"",uk.org.publicwhip/debate/2020-05-11b.49.1,b49.1/2,Question put and agreed to.,Standards,uk.org.publicwhip/debate/2020-05-11b.47.1.1,house-of-commons,,571
uk.org.publicwhip/debate/2020-05-12d.226.0.2,2020-05-12,uk.org.publicwhip/debate/2020-05-12d.222.0,"",uk.org.publicwhip/debate/2020-05-12d.226.0,d226.0/2,Question put and agreed to.,Hybrid Proceedings (Extension of Temporary Orders),uk.org.publicwhip/debate/2020-05-12d.222.1.2,house-of-commons,,380
uk.org.publicwhip/debate/2020-05-12d.228.3.3,2020-05-12,uk.org.publicwhip/debate/2020-05-12d.228.2,"",uk.org.publicwhip/debate/2020-05-12d.228.3,d228.3/3,Question agreed to.,Adjournment (Whitsun),uk.org.publicwhip/debate/2020-05-12d.228.3.1,house-of-commons,,381
uk.org.publicwhip/debate/2020-05-18a.467.2.14,2020-05-18,uk.org.publicwhip/debate/2020-05-18a.467.1,"",uk.org.publicwhip/debate/2020-05-18a.467.2,a467.2/14,Question agreed to.,IMMIGRATION AND SOCIAL SECURITY CO-ORDINATION (EU WITHDRAWAL) BILL (PROGRAMME),uk.org.publicwhip/debate/2020-05-18a.467.2.1,house-of-commons,,46
uk.org.publicwhip/debate/2020-05-18a.468.1.6,2020-05-18,uk.org.publicwhip/debate/2020-05-18a.468.0,"",uk.org.publicwhip/debate/2020-05-18a.468.1,a468.1/6,Question agreed to.,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Money),uk.org.publicwhip/debate/2020-05-18a.468.1.2,house-of-commons,,47
uk.org.publicwhip/debate/2020-05-18a.468.3.3,2020-05-18,uk.org.publicwhip/debate/2020-05-18a.468.2,"",uk.org.publicwhip/debate/2020-05-18a.468.3,a468.3/3,Question agreed to.,Immigration and Social Security Co-ordination (EU Withdrawal) Bill (Ways and Means),uk.org.publicwhip/debate/2020-05-18a.468.3.1,house-of-commons,,48
uk.org.publicwhip/debate/2020-05-19b.526.0.2,2020-05-19,uk.org.publicwhip/debate/2020-05-19b.513.0,"",uk.org.publicwhip/debate/2020-05-19b.526.0,b526.0/2,Question put and agreed to.,Human Tissue,uk.org.publicwhip/debate/2020-05-19b.513.2.1,house-of-commons,,97
uk.org.publicwhip/debate/2020-05-19b.540.0.2,2020-05-19,uk.org.publicwhip/debate/2020-05-19b.527.0,"",uk.org.publicwhip/debate/2020-05-19b.540.0,b540.0/2,Question put and agreed to.,Approve: Victims and Witnesses (Scotland) Act 2014 (Consequential Modification) Order 2020,uk.org.publicwhip/debate/2020-05-19b.527.2.1,house-of-commons,,98
uk.org.publicwhip/debate/2020-05-19b.554.0.2,2020-05-19,uk.org.publicwhip/debate/2020-05-19b.542.0,"",uk.org.publicwhip/debate/2020-05-19b.554.0,b554.0/2,Question put and agreed to.,Finance Bill (Ways and Means),uk.org.publicwhip/debate/2020-05-19b.542.1.1,house-of-commons,,99
uk.org.publicwhip/debate/2020-05-20a.665.2.14,2020-05-20,uk.org.publicwhip/debate/2020-05-20a.665.1,"",uk.org.publicwhip/debate/2020-05-20a.665.2,a665.2/14,Question agreed to.,TRADE BILL (PROGRAMME),uk.org.publicwhip/debate/2020-05-20a.665.2.1,house-of-commons,,29
uk.org.publicwhip/debate/2020-05-20a.666.1.4,2020-05-20,uk.org.publicwhip/debate/2020-05-20a.666.0,"",uk.org.publicwhip/debate/2020-05-20a.666.1,a666.1/4,Question agreed to.,TRADE BILL (MONEY),uk.org.publicwhip/debate/2020-05-20a.666.1.2,house-of-commons,,30
uk.org.publicwhip/debate/2020-05-20a.680.0.2,2020-05-20,uk.org.publicwhip/debate/2020-05-20a.667.0,"",uk.org.publicwhip/debate/2020-05-20a.680.0,a680.0/2,Main Question put and agreed to.,Liaison (Membership),uk.org.publicwhip/debate/2020-05-20a.667.2.1,house-of-commons,,31
uk.org.publicwhip/debate/2020-06-02d.810.3.4,2020-06-02,uk.org.publicwhip/debate/2020-06-02d.761.0,"",uk.org.publicwhip/debate/2020-06-02d.810.3,d810.3/4,Question agreed to.,Second Reading: Parliamentary Constituencies Bill,uk.org.publicwhip/debate/2020-06-02d.810.3.3,house-of-commons,,65
uk.org.publicwhip/debate/2020-06-02d.813.1.14,2020-06-02,uk.org.publicwhip/debate/2020-06-02d.813.0,"",uk.org.publicwhip/debate/2020-06-02d.813.1,d813.1/14,Question agreed to.,Parliamentary Constituencies Bill (Programme),uk.org.publicwhip/debate/2020-06-02d.813.1.1,house-of-commons,,66
